policy,seeds,goodput_mean,goodput_ci95,throughput_payload_B_per_cycle_mean,throughput_payload_B_per_cycle_ci95,p99_latency_cycles_mean,p99_latency_cycles_ci95,avg_repair_frames_mean,avg_repair_frames_ci95,security_drops_mean,security_drops_ci95,utility_mean
ewma_a0.1,20,0.9180843982782432,0.00031740559574922544,7.219753054260104,0.005046798771640134,2036.1937760416668,26.106519908286213,0.45364583333333336,0.01152992368440176,0,0.0,0.8773605227574098
ewma_a0.3,20,0.918042189383478,0.00031408921268996274,7.21870831583588,0.005160691636394487,2024.3088541666666,16.025425384643576,0.45427083333333335,0.010817588887983086,0,0.0,0.8775560123001447
ewma_a0.6,20,0.9179816284529577,0.000325947929863213,7.216768081590612,0.004857767647344079,2024.9000130208333,11.410327041186585,0.45989583333333334,0.01479365118266371,0,0.0,0.877483628192541
fixed_M16,20,0.9148296081571738,0.00052904680123802,7.190156162258344,0.0040859237429057855,729.1333333333333,11.48277384920254,0.14239583333333333,0.009059572324036298,0,0.0,0.9002469414905072
fixed_M32,20,0.9167806093227758,0.0004301675430278466,7.269160160129645,0.0033809987842958384,1318.2,10.433215647001749,0.28854166666666664,0.014842878975675497,0,0.0,0.8904166093227758
fixed_M64,20,0.9179068131476703,0.0002796385637567137,7.310487081219458,0.0022173580245603767,2469.241666666667,9.928392153535551,0.5710416666666667,0.01940719773255298,0,0.0,0.868521979814337
fixed_M8,20,0.9108860709544359,0.000879217790957029,7.036692862157719,0.00656185991356698,426.71875,11.062643884731838,0.07,0.007554892686780662,0,0.0,0.9023516959544358
offline_oracle,20,0.9140498290903737,0.0005328796964181304,7.103231510885761,0.01386602712825011,506.66041666666666,29.533303845321846,0.08010416666666667,0.010017315919861172,0,0.0,0.9039166207570404
threshold_t0.04_w32,20,0.914136173170799,0.0007120014410876168,7.015253222394181,0.016400114139001325,577.5530208333333,49.57535501524744,0.09354166666666666,0.0077413479812789366,0,0.0,0.9025851127541322
threshold_t0.04_w8,20,0.9163656367400301,0.0006170940029548153,7.122241965691071,0.013581614702345864,1247.4645442708334,53.11501044993338,0.18479166666666666,0.01063607369269747,0,0.0,0.8914163458546134
threshold_t0.08_w32,20,0.9159372504396817,0.000825889069855598,7.110795413841453,0.03272457433688333,1190.0120833333333,231.9513051158449,0.2796875,0.06328707361659057,0,0.0,0.8921370087730149
threshold_t0.08_w8,20,0.9177725702396813,0.0004468456022040077,7.206522213013446,0.01301073335713181,2004.5424739583334,88.7408260296008,0.45927083333333335,0.03150492539871591,0,0.0,0.8776817207605145
threshold_t0.12_w32,20,0.9175927948540565,0.0006171733734338696,7.198350560065101,0.025918774866210456,1883.4944010416666,210.01240260318178,0.47822916666666665,0.06143202885635386,0,0.0,0.8799229068332233
threshold_t0.12_w8,20,0.9181112158803162,0.0002848107756604342,7.2259141847605735,0.0064912133243831575,2187.6247916666666,56.39032939699987,0.5391666666666667,0.025065848659198593,0,0.0,0.8743587200469828
