experiment,scheme,adversary,fec_t,seeds,goodput_mean,goodput_ci95,offered_efficiency_mean,offered_efficiency_ci95,delivery_ratio_mean,delivery_ratio_ci95,p99_latency_cycles_mean,p99_latency_cycles_ci95,avg_repair_frames_mean,security_drops_mean
adversarial,flush,none,0,20,0.717484034091763,0.0081640023657022,0.717484034091763,0.0081640023657022,1.0,0.0,4020.525,264.97319204412474,9.301333333333334,0.0
adversarial,flush,one_per_epoch,0,20,0.4036124863017804,0.0029495030098429,0.4036124863017804,0.0029495030098429,1.0,0.0,5323.475,264.97319204412474,41.392,0.0
adversarial,modeA,repeat_repair,0,20,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,1776.0,0.0,15.0,9600.0
adversarial,modeA,tag_target,0,20,0.8302143685825092,0.000468678213531,0.856995477246461,0.0004837968655804,0.96875,0.0,131.6,8.65442480073511,0.0103072916666666,300.0
adversarial,sr,none,0,20,0.9154588497667192,0.0005503703849314,0.9154588497667192,0.0005503703849314,1.0,0.0,1328.425,10.358244748178038,0.3298333333333333,0.0
adversarial,sr,one_per_epoch,0,20,0.8863035899605873,0.0005474110454977,0.8863035899605873,0.0005474110454977,1.0,0.0,1368.85,16.003717272131365,1.328,0.0
adversarial,sr,repeat_repair,0,20,0.0,0.0,0.5964313302845643,0.0002010590712056,0.0,0.0,3136.175,7.399273260900268,16.329833333333333,300.0
adversarial,sr,tag_target,0,20,0.0,0.0,0.9162780063199925,0.0005513558208167,0.0,0.0,1397.425,10.358244748178038,0.3298333333333333,300.0
fec,sr,none,0,20,0.9154588497667192,0.0005503703849314,0.9154588497667192,0.0005503703849314,1.0,0.0,1328.425,10.358244748178038,0.3298333333333333,0.0
fec,sr,none,1,20,0.8663679768876034,0.0003909514491537,0.8663679768876034,0.0003909514491537,1.0,0.0,1385.8,12.41047353946191,0.1803333333333333,0.0
fec,sr,none,2,20,0.8209975506820228,0.0003027786529857,0.8209975506820228,0.0003027786529857,1.0,0.0,1429.45,26.63487649878,0.078,0.0
