piB,scheme,goodput_mean,goodput_ci95,p99_latency_cycles_mean,p99_latency_cycles_ci95
0.0,crc_arq,0.9552226865699627,1.0945712234834049e-06,34.5,0.0
0.0,modeA,0.8888877777803819,1.0185593329603316e-06,44.0,0.0
0.0,modeB_flush,0.9262591777692888,2.2234184054504643e-05,1113.5,0.0
0.0,modeB_selective_retry,0.9262764958500953,5.912080349608216e-07,1113.5,0.0
0.01,crc_arq,0.9542934463181452,4.094785071024884e-05,34.5,0.0
0.01,modeA,0.8880230681016074,3.8104249966474595e-05,44.0,0.0
0.01,modeB_flush,0.9041634015491031,0.001140985176115891,2219.0,0.0
0.01,modeB_selective_retry,0.9253316686783796,3.9698163715861396e-05,1149.5,0.0
0.02,crc_arq,0.9533264692518817,7.55297468684991e-05,34.5,0.0
0.02,modeA,0.887123242220501,7.028462555819812e-05,44.0,0.0
0.02,modeB_flush,0.8830890697359791,0.0016226951111756897,2219.0,0.0
0.02,modeB_selective_retry,0.9243351212055403,4.708401245349596e-05,1184.0,0.0
0.03,crc_arq,0.9522825247828808,7.893950630553023e-05,34.5,0.0
0.03,modeA,0.8861517938951807,7.34575961454405e-05,44.0,0.0
0.03,modeB_flush,0.8618471778337033,0.0009494943995611362,2219.0,0.0
0.03,modeB_selective_retry,0.9234525802601882,5.7462298487205974e-05,1184.0,0.0
0.04,crc_arq,0.9514063887996762,0.0001548153052828192,34.5,0.0
0.04,modeA,0.8853365006885876,0.00014406424241596077,44.0,0.0
0.04,modeB_flush,0.8395792396909495,0.0018910763427135266,3324.5,0.0
0.04,modeB_selective_retry,0.9224968237140984,7.553839678760377e-05,1184.0,0.0
0.05,crc_arq,0.9503973655584894,0.000129913442507909,34.5,0.0
0.05,modeA,0.8843975485058165,0.00012089167566708059,44.0,0.0
0.05,modeB_flush,0.8200592653731991,0.0016359200969748165,3324.5,0.0
0.05,modeB_selective_retry,0.9214818061299986,9.46800158279667e-05,1185.2,0.588
0.075,crc_arq,0.94806716660429,8.519508954407471e-05,34.5,0.0
0.075,modeA,0.8822291689234365,7.927876388126642e-05,44.0,0.0
0.075,modeB_flush,0.7698834660882058,0.002157274297354957,3324.5,0.0
0.075,modeB_selective_retry,0.9191268113860821,5.0226187549681734e-05,1218.5,0.0
0.1,crc_arq,0.9457062383632244,6.329907859337152e-05,34.5,0.0
0.1,modeA,0.8800321940324449,5.890330924661574e-05,44.0,0.0
0.1,modeB_flush,0.7196113061979844,0.003301138844410748,4430.0,0.0
0.1,modeB_selective_retry,0.9167326737210286,0.00014540232460732457,1218.5,0.0
